Marca temporal,titulo,fecha,foto,historia
11/11/2021 16:32:16,Bandera del orgullo en la FAU,22/05/2019,https://drive.google.com/open?id=1yCAEJ_eIh3lqGJNtWqX0_s_INk1ktuCs,Salimos de clases y vimos que en la entrada de la FAU estaba colgada la bandera del orgullo así que nos sacamos fotos con ella
11/11/2021 16:35:52,Cumpleaños de la Alicia,12/06/2019,https://drive.google.com/open?id=1kJSAQdw7Ys7Xj9Gg1ELaPHhTxjzdhD3X,"Le organizamos un cumpleaños sorpresa a la Alicia en el Parque O'Higgins, la organización no resultó tan buena, pero al final se pasó bien."
